OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,ADMIN_LEVEL,Y,X,YEAR,COUNTRY,DISEASE
7341,Literature,polygon,1,41.4942,20.2201,1996,Albania,Visceral
6860,Literature,polygon,1,41.3309,19.822,2003,Albania,Visceral
7348,Literature,polygon,1,41.4942,20.2201,2003,Albania,Visceral
7139,Literature,polygon,1,40.68,19.94,1998,Albania,Visceral
6539,Literature,polygon,1,40.689,20.5545,2004,Albania,Visceral
6861,Literature,polygon,1,41.3309,19.822,2004,Albania,Visceral
7349,Literature,polygon,1,41.4942,20.2201,2004,Albania,Visceral
7340,Literature,polygon,1,41.4942,20.2201,1995,Albania,Visceral
6758,Literature,polygon,1,42.0789,19.5343,2003,Albania,Visceral
6543,Literature,polygon,1,40.689,20.5545,2008,Albania,Visceral
6542,Literature,polygon,1,40.689,20.5545,2007,Albania,Visceral
6540,Literature,polygon,1,40.689,20.5545,2005,Albania,Visceral
7339,Literature,polygon,1,41.46,20.33,2001,Albania,Visceral
7190,Literature,polygon,1,40.3172,20.6335,2007,Albania,Visceral
6916,Literature,polygon,1,42.4022,19.6035,2000,Albania,Visceral
7750,Literature,polygon,1,41.08,19.78,2000,Albania,Visceral
6913,Literature,polygon,1,42.4022,19.6035,1997,Albania,Visceral
7086,Literature,polygon,1,42.0289,20.4172,2002,Albania,Visceral
7749,Literature,polygon,1,41.08,19.78,1999,Albania,Visceral
7662,Literature,polygon,1,41.5096,19.7381,2008,Albania,Visceral
7018,Literature,polygon,1,41.73,20.34,1999,Albania,Visceral
6917,Literature,polygon,1,42.4022,19.6035,2001,Albania,Visceral
6915,Literature,polygon,1,42.4022,19.6035,1999,Albania,Visceral
6862,Literature,polygon,1,41.3309,19.822,2005,Albania,Visceral
6853,Literature,polygon,1,41.3309,19.822,1996,Albania,Visceral
6544,Literature,polygon,1,40.689,20.5545,2009,Albania,Visceral
7238,Literature,polygon,1,40.3277,19.9617,2009,Albania,Visceral
7137,Literature,polygon,1,40.3005,20.3572,2009,Albania,Visceral
6751,Literature,polygon,1,42.0789,19.5343,1996,Albania,Visceral
7185,Literature,polygon,1,40.3172,20.6335,2002,Albania,Visceral
6759,Literature,polygon,1,42.0789,19.5343,2004,Albania,Visceral
7189,Literature,polygon,1,40.3172,20.6335,2006,Albania,Visceral
6846,Literature,polygon,1,41.31,19.9,2001,Albania,Visceral
7614,Literature,polygon,1,39.98,20.06,1997,Albania,Visceral
6685,Literature,polygon,1,40.3403,19.5772,2008,Albania,Visceral
7338,Literature,polygon,1,41.46,20.33,2000,Albania,Visceral
7747,Literature,polygon,1,41.08,19.78,1997,Albania,Visceral
7748,Literature,polygon,1,41.08,19.78,1998,Albania,Visceral
7580,Literature,polygon,1,42.2133,20.3739,2009,Albania,Visceral
7577,Literature,polygon,1,42.2133,20.3739,2006,Albania,Visceral
7019,Literature,polygon,1,41.73,20.34,2000,Albania,Visceral
7138,Literature,polygon,1,40.68,19.94,1997,Albania,Visceral
6852,Literature,polygon,1,41.3309,19.822,1995,Albania,Visceral
7495,Literature,polygon,1,40.6452,20.9549,2007,Albania,Visceral
7663,Literature,polygon,1,41.5096,19.7381,2009,Albania,Visceral
6845,Literature,polygon,1,41.31,19.9,2000,Albania,Visceral
